"id","method","path","summary","request_schema","success_response_schema","error_response_schemas","status","issue","frontend_target","destructive","confirmation","backend_prerequisite","canonical_status","last_verified"
"57","GET","/admin/places/duplicates","관리자 중복 장소 목록 조회","-","200:AdminMapPlaceDuplicateResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceMergeApi.ts::getAdminPlaceDuplicateGroups -> src/api/adminPendingWorkApi.ts,src/hooks/useAdminPlaceMerge.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"58","GET","/admin/places/duplicates/{id}","관리자 중복 장소 상세 조회","-","200:AdminMapPlaceDuplicateDetailResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceMergeApi.ts::getAdminPlaceDuplicateDetail -> src/hooks/useAdminPlaceMerge.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"59","POST","/admin/places/merge","관리자 중복 장소 병합","AdminMapPlaceMergeRequest","200:AdminMapPlaceMergeResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceMergeApi.ts::mergeAdminPlaces -> src/hooks/useAdminPlaceMerge.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"60","GET","/admin/places/merge-histories","관리자 장소 병합 이력 조회","-","200:AdminPlaceMergeHistoryResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceMergeApi.ts::getAdminPlaceMergeHistories -> src/hooks/useAdminPlaceMerge.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"61","POST","/admin/places/merge-histories/{historyId}/restore","관리자 장소 병합 복구","-","200:AdminPlaceMergeRestoreResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceMergeApi.ts::restoreAdminPlaceMerge -> src/hooks/useAdminPlaceMerge.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"62","GET","/admin/places/recommendation-metrics","관리자 추천 성과 조회","-","200:AdminPlaceRecommendationMetricsResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminRecommendationMetricApi.ts::getAdminRecommendationMetrics -> src/hooks/useAdminRecommendationMetrics.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"63","GET","/admin/places/recommendation-metrics/compare","관리자 추천 버전 성과 비교","-","200:AdminPlaceRecommendationMetricsCompareResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminRecommendationMetricApi.ts::compareAdminRecommendationMetrics -> src/hooks/useAdminRecommendationMetrics.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"64","POST","/admin/places/recommendation-snapshots/resync","관리자 추천 snapshot 재동기화","-","200:AdminPlaceRecommendationSnapshotResyncResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminRecommendationPolicyApi.ts::resyncAdminRecommendationSnapshots -> src/hooks/useAdminRecommendationPolicy.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"65","PATCH","/admin/places/recommendation-traffic","관리자 추천 버전 트래픽 비율 수정","AdminPlaceRecommendationTrafficUpdateRequest","200:AdminPlaceRecommendationTrafficUpdateResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminRecommendationPolicyApi.ts::updateAdminRecommendationTraffic -> src/hooks/useAdminRecommendationPolicy.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"66","GET","/admin/places/recommendations/{requestId}/explanation","관리자 추천 설명 조회","-","200:AdminPlaceRecommendationExplanationResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminRecommendationMetricApi.ts::getAdminRecommendationExplanation -> src/hooks/useAdminRecommendationMetrics.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"67","GET","/admin/places/{id}","관리자 장소 상세 조회","-","200:AdminMapPlaceDetailResponse","401:ErrorResponse|403:ErrorResponse|404:-","implemented","#207","src/api/adminPlaceApi.ts::getAdminPlace -> src/hooks/useAdminPlaces.ts,src/pages/placeDuplicateCandidate/PlaceDuplicateCandidatePage.tsx","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"68","PATCH","/admin/places/{id}/basic-information","관리자 장소 기본 정보 수정","AdminMapPlaceBasicInformationUpdateRequest","200:AdminMapPlaceBasicInformationUpdateResponse","400:AdminMapPlaceBasicInformationUpdateResponse|401:ErrorResponse|403:ErrorResponse|404:AdminMapPlaceBasicInformationUpdateResponse","partial","#207","src/api/adminPlaceApi.ts::updateAdminPlaceBasicInformation -> src/hooks/useAdminPlaces.ts","review-required","호출 연결 확인; 작업 UI 검증 별도","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"69","PATCH","/admin/places/{id}/coordinates","관리자 장소 좌표 수정","AdminMapPlaceCoordinateUpdateRequest","200:AdminMapPlaceCoordinateUpdateResponse","400:-|401:ErrorResponse|403:ErrorResponse|404:-","implemented","#207","src/api/adminPlaceApi.ts::updateAdminPlaceCoordinates -> src/hooks/useAdminPlaces.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"70","DELETE","/admin/places/{id}/delete","관리자 장소 삭제","-","204:-","401:ErrorResponse|403:ErrorResponse|404:-|409:ErrorResponse","implemented","#207","src/api/adminPlaceApi.ts::deleteAdminPlace -> src/hooks/useAdminPlaces.ts","yes","Danger Zone + 대상 ID 재입력","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"71","PATCH","/admin/places/{id}/discovery-status","관리자 장소 탐색 노출 상태 수정","AdminMapPlaceDiscoveryStatusUpdateRequest","200:AdminMapPlaceDiscoveryStatusUpdateResponse","400:AdminMapPlaceDiscoveryStatusUpdateResponse|401:ErrorResponse|403:ErrorResponse|404:AdminMapPlaceDiscoveryStatusUpdateResponse","implemented","#207","src/api/adminPlaceApi.ts::updateAdminPlaceDiscoveryStatus -> src/hooks/useAdminPlaces.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"72","PATCH","/admin/places/{id}/geocoding","관리자 장소 주소·좌표 보정","AdminMapPlaceGeocodingUpdateRequest","200:AdminMapPlaceGeocodingUpdateResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceApi.ts::updateAdminPlaceGeocoding -> src/hooks/useAdminPlaces.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"73","GET","/admin/places/{id}/information-evidence","관리자 장소 정보 증빙 목록 조회","-","200:AdminPlaceInformationEvidenceResponse","401:ErrorResponse|403:ErrorResponse|404:AdminPlaceInformationEvidenceResponse","partial","#207","src/api/adminPlaceVerificationApi.ts::getAdminPlaceInformationEvidence -> src/hooks/useAdminPlaceVerification.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"74","POST","/admin/places/{id}/information-evidence","관리자 장소 정보 증빙 등록","AdminPlaceInformationEvidenceCreateRequest","200:AdminPlaceInformationEvidenceUpdateResponse","400:AdminPlaceInformationEvidenceUpdateResponse|401:ErrorResponse|403:ErrorResponse|404:AdminPlaceInformationEvidenceUpdateResponse","partial","#207","src/api/adminPlaceVerificationApi.ts::createAdminPlaceInformationEvidence -> src/hooks/useAdminPlaceVerification.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"75","PATCH","/admin/places/{id}/information-evidence/{evidenceId}/review","관리자 장소 정보 증빙 검토","AdminPlaceInformationEvidenceReviewRequest","200:AdminPlaceInformationEvidenceUpdateResponse","400:AdminPlaceInformationEvidenceUpdateResponse|401:ErrorResponse|403:ErrorResponse|404:AdminPlaceInformationEvidenceUpdateResponse","partial","#207","src/api/adminPlaceVerificationApi.ts::reviewAdminPlaceInformationEvidence -> src/hooks/useAdminPlaceVerification.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"76","PATCH","/admin/places/{id}/kakao-place-id","관리자 장소 Kakao place id 수정","AdminMapPlaceKakaoPlaceIdUpdateRequest","200:AdminMapPlaceKakaoPlaceIdUpdateResponse","400:-|401:ErrorResponse|403:ErrorResponse|404:-|409:-","implemented","#207","src/api/adminPlaceApi.ts::updateAdminPlaceKakaoPlaceId -> src/hooks/useAdminPlaces.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"77","PATCH","/admin/places/{id}/operating-schedule","관리자 장소 영업시간 일정 수정","AdminMapPlaceOperatingScheduleUpdateRequest","200:AdminMapPlaceOperatingScheduleUpdateResponse","400:ErrorResponse|401:ErrorResponse|403:ErrorResponse|404:ErrorResponse","implemented","#207","src/api/adminPlaceApi.ts::updateAdminPlaceOperatingSchedule -> src/hooks/useAdminPlaces.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"78","PATCH","/admin/places/{id}/operating-status","관리자 장소 운영 상태 확인","AdminMapPlaceOperatingStatusUpdateRequest","200:AdminMapPlaceOperatingStatusUpdateResponse","400:AdminMapPlaceOperatingStatusUpdateResponse|401:ErrorResponse|403:ErrorResponse|404:AdminMapPlaceOperatingStatusUpdateResponse","implemented","#207","src/api/adminPlaceApi.ts::updateAdminPlaceOperatingStatus -> src/hooks/useAdminPlaces.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"79","PATCH","/admin/places/{id}/tourist-info","관리자 장소 관광 정보 수정","AdminMapPlaceTouristInfoUpdateRequest","200:AdminMapPlaceTouristInfoUpdateResponse","400:-|401:ErrorResponse|403:ErrorResponse|404:-","implemented","#207","src/api/adminPlaceApi.ts::updateAdminPlaceTouristInfo -> src/hooks/useAdminPlaces.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"80","GET","/admin/places/{placeId}/information-reverification-requests","장소 정보 재확인 요청 목록 조회","-","200:PlaceInformationReverificationListResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","partial","#207","src/api/adminPlaceVerificationApi.ts::getAdminPlaceInformationReverificationRequests -> src/hooks/useAdminPlaceVerification.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"81","POST","/admin/places/{placeId}/information-reverification-requests","장소 정보 재확인 요청 생성","PlaceInformationReverificationCreateRequest","200:PlaceInformationReverificationResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","partial","#207","src/api/adminPlaceVerificationApi.ts::createAdminPlaceInformationReverificationRequest -> src/hooks/useAdminPlaceVerification.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"82","POST","/admin/places/{placeId}/information-reverification-requests/{requestId}/cancel","장소 정보 재확인 요청 취소","-","200:PlaceInformationReverificationResponse","401:ErrorResponse|403:ErrorResponse","partial","#207","src/api/adminPlaceVerificationApi.ts::runReverificationAction -> src/api/adminPlaceVerificationApi.ts,src/components/placeVerification/PlaceInformationReverificationPanel.tsx,src/hooks/useAdminPlaceVerification.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"83","POST","/admin/places/{placeId}/information-reverification-requests/{requestId}/complete","장소 정보 재확인 요청 완료","-","200:PlaceInformationReverificationResponse","401:ErrorResponse|403:ErrorResponse","partial","#207","src/api/adminPlaceVerificationApi.ts::runReverificationAction -> src/api/adminPlaceVerificationApi.ts,src/components/placeVerification/PlaceInformationReverificationPanel.tsx,src/hooks/useAdminPlaceVerification.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"84","POST","/admin/places/{placeId}/information-reverification-requests/{requestId}/reminders","장소 정보 재확인 리마인드 발행","-","200:PlaceInformationReverificationResponse","401:ErrorResponse|403:ErrorResponse","partial","#207","src/api/adminPlaceVerificationApi.ts::runReverificationAction -> src/api/adminPlaceVerificationApi.ts,src/components/placeVerification/PlaceInformationReverificationPanel.tsx,src/hooks/useAdminPlaceVerification.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"85","POST","/admin/places/{placeId}/operating-notices","관리자 상점 운영 상태 공지 생성","PlaceOperatingNoticeCreateRequest","200:PlaceOperatingNoticeResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceOperatingNoticeApi.ts::createAdminPlaceOperatingNotice -> src/hooks/useAdminPlaceOperatingNotices.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"86","PATCH","/admin/places/{placeId}/operating-notices/{noticeId}","관리자 상점 운영 상태 공지 수정","PlaceOperatingNoticeUpdateRequest","200:PlaceOperatingNoticeResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceOperatingNoticeApi.ts::updateAdminPlaceOperatingNotice -> src/hooks/useAdminPlaceOperatingNotices.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"87","POST","/admin/places/{placeId}/operating-notices/{noticeId}/cancel","관리자 상점 운영 상태 공지 취소","PlaceOperatingNoticeCancelRequest","200:PlaceOperatingNoticeResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminPlaceOperatingNoticeApi.ts::cancelAdminPlaceOperatingNotice -> src/hooks/useAdminPlaceOperatingNotices.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"88","DELETE","/admin/posts/s3/orphans","MapImage S3 고아 파일 삭제","AdminS3OrphanDeleteRequest","200:S3OrphanDeleteResult","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminS3OrphanApi.ts::deleteAdminS3Orphans -> src/hooks/useAdminS3Orphans.ts","yes","후보 선택 + reportId 재입력","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"89","GET","/admin/posts/s3/orphans/report","MapImage S3 고아 파일 삭제 후보 리포트 생성","-","200:S3OrphanReport","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminS3OrphanApi.ts::getAdminS3OrphanReport -> src/hooks/useAdminS3Orphans.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"90","POST","/admin/posts/s3/orphans/report/refresh","MapImage S3 고아 파일 리포트 생성 시작","-","200:S3OrphanReportStatus","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminS3OrphanApi.ts::refreshAdminS3OrphanReport -> src/hooks/useAdminS3Orphans.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"91","GET","/admin/posts/s3/orphans/report/status","MapImage S3 고아 파일 리포트 생성 상태 조회","-","200:S3OrphanReportStatus","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminS3OrphanApi.ts::getAdminS3OrphanReportStatus -> src/hooks/useAdminS3Orphans.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"92","DELETE","/admin/posts/{id}/delete","관리자 게시글 삭제","-","204:-","401:ErrorResponse|403:ErrorResponse|404:-","excluded","#207","호출 근거 없음","yes","기획상 제외; 웹에서 처리하지 않음","옛 MapImage 운영 기능 제외; 서버 API·데이터 삭제는 별도 결정","admin: documented","2026-09-16T10:57:26.133Z"
"93","POST","/admin/posts/{postId}/reports/accept","게시글 단위 신고 일괄 수락","-","200:AdminPostReportBulkActionResponse","401:ErrorResponse|403:ErrorResponse|404:AdminPostReportBulkActionResponse|409:AdminPostReportBulkActionResponse","excluded","#207","호출 근거 없음","no","기획상 제외; 웹에서 처리하지 않음","옛 MapImage 운영 기능 제외; 서버 API·데이터 삭제는 별도 결정","admin: documented","2026-09-16T10:57:26.133Z"
"94","POST","/admin/posts/{postId}/reports/decline","게시글 단위 신고 일괄 거절","-","200:AdminPostReportBulkActionResponse","401:ErrorResponse|403:ErrorResponse|404:AdminPostReportBulkActionResponse|409:AdminPostReportBulkActionResponse","excluded","#207","호출 근거 없음","yes","기획상 제외; 웹에서 처리하지 않음","옛 MapImage 운영 기능 제외; 서버 API·데이터 삭제는 별도 결정","admin: documented","2026-09-16T10:57:26.133Z"
"95","GET","/admin/privacy-processing-histories","개인정보 처리 이력 조회","-","200:PrivacyProcessingHistoryResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminOperationHistoryApi.ts::getPrivacyProcessingHistories -> src/hooks/useAdminOperationHistories.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"96","GET","/admin/report-appeals","신고 이의제기 목록 조회","-","200:AdminReportAppealResponse","401:ErrorResponse|403:ErrorResponse","excluded","#207","호출 근거 없음","no","기획상 제외; 웹에서 처리하지 않음","옛 MapImage 운영 기능 제외; 서버 API·데이터 삭제는 별도 결정","admin: documented","2026-09-16T10:57:26.133Z"
"97","POST","/admin/report-appeals/{id}/approve","신고 이의제기 승인","AdminReportAppealActionRequest","200:AdminReportAppealActionResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","excluded","#207","호출 근거 없음","no","기획상 제외; 웹에서 처리하지 않음","옛 MapImage 운영 기능 제외; 서버 API·데이터 삭제는 별도 결정","admin: documented","2026-09-16T10:57:26.133Z"
"98","POST","/admin/report-appeals/{id}/reject","신고 이의제기 반려","AdminReportAppealActionRequest","200:AdminReportAppealActionResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","excluded","#207","호출 근거 없음","yes","기획상 제외; 웹에서 처리하지 않음","옛 MapImage 운영 기능 제외; 서버 API·데이터 삭제는 별도 결정","admin: documented","2026-09-16T10:57:26.133Z"
"99","GET","/admin/reports/reported-users","관리자 신고 유저 목록 조회","-","200:ReportedUsersResponse","401:ErrorResponse|403:ErrorResponse","excluded","#207","호출 근거 없음","no","기획상 제외; 웹에서 처리하지 않음","옛 MapImage 운영 기능 제외; 서버 API·데이터 삭제는 별도 결정","admin: documented","2026-09-16T10:57:26.133Z"
"100","GET","/admin/reports/reported-users/{id}","관리자 신고 유저 상세 조회","-","200:ReportedUsersItem","401:ErrorResponse|403:ErrorResponse|404:-","excluded","#207","호출 근거 없음","no","기획상 제외; 웹에서 처리하지 않음","옛 MapImage 운영 기능 제외; 서버 API·데이터 삭제는 별도 결정","admin: documented","2026-09-16T10:57:26.133Z"
"101","POST","/admin/reports/{id}/accept","신고 수락 처리","-","200:-","401:ErrorResponse|403:ErrorResponse|404:-|409:-","excluded","#207","호출 근거 없음","no","기획상 제외; 웹에서 처리하지 않음","옛 MapImage 운영 기능 제외; 서버 API·데이터 삭제는 별도 결정","admin: documented","2026-09-16T10:57:26.133Z"
"102","POST","/admin/reports/{id}/decline","신고 거절 처리","-","200:-","401:ErrorResponse|403:ErrorResponse|404:-|409:-","excluded","#207","호출 근거 없음","yes","기획상 제외; 웹에서 처리하지 않음","옛 MapImage 운영 기능 제외; 서버 API·데이터 삭제는 별도 결정","admin: documented","2026-09-16T10:57:26.133Z"
"103","GET","/admin/reservations","관리자 예약 심사 목록 조회","-","200:AdminReservationPageResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminReservationApi.ts::getAdminReservations -> src/hooks/useAdminReservations.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"104","GET","/admin/reservations/{reservationId}","관리자 예약 심사 상세 조회","-","200:AdminReservationResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminReservationApi.ts::getAdminReservation -> src/hooks/useAdminReservations.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"105","POST","/admin/reservations/{reservationId}/confirm","관리자 예약 승인","ReservationReviewRequest","200:AdminReservationResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","partial","#207","src/api/adminReservationApi.ts::reviewAdminReservation -> src/api/adminReservationApi.ts","yes","승인 확인 dialog + 선택 메모","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"106","POST","/admin/reservations/{reservationId}/reject","관리자 예약 반려","ReservationReviewRequest","200:AdminReservationResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","partial","#207","src/api/adminReservationApi.ts::reviewAdminReservation -> src/api/adminReservationApi.ts","yes","반려 확인 dialog + 필수 사유 입력","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"107","GET","/admin/s3/orphan-objects","S3 orphan 객체 dry-run 리포트","-","200:AdminS3OrphanObjectReportResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminS3OrphanApi.ts::getAdminS3OrphanDryRun -> src/hooks/useAdminS3Orphans.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"108","GET","/admin/scout-field-reports","Scout 현장 제보 목록 조회","-","200:ScoutFieldReportPageResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminScoutApi.ts::getAdminScoutFieldReports -> src/api/adminPendingWorkApi.ts,src/hooks/useAdminScouts.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"109","POST","/admin/scout-field-reports/{reportId}/review","Scout 현장 제보 심사","ScoutFieldReportReviewRequest","200:ScoutFieldReportResponse","400:ScoutFieldReportResponse|401:ErrorResponse|403:ErrorResponse|404:ScoutFieldReportResponse|409:ScoutFieldReportResponse","implemented","#207","src/api/adminScoutApi.ts::reviewAdminScoutFieldReport -> src/hooks/useAdminScouts.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"110","GET","/admin/scout-profiles","Scout 프로필 목록 조회","-","200:ScoutProfilePageResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminScoutApi.ts::getAdminScoutProfiles -> src/api/adminPendingWorkApi.ts,src/hooks/useAdminScouts.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"111","GET","/admin/scout-profiles/{scoutUserId}","Scout 프로필 및 활동 자격 상세 조회","-","200:ScoutProfileResponse","401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminScoutApi.ts::getAdminScoutProfile -> src/hooks/useAdminScouts.ts","no","해당 없음","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"112","POST","/admin/scout-profiles/{scoutUserId}/approve","Scout 프로필 승인","ScoutProfileReviewRequest","200:ScoutProfileResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse|409:ScoutProfileResponse","partial","#207","src/api/adminScoutApi.ts::reviewAdminScoutProfile -> src/hooks/useAdminScouts.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"113","POST","/admin/scout-profiles/{scoutUserId}/eligibility/grant","Scout 활동 자격 부여","ScoutActivityEligibilityGrantRequest","200:ScoutProfileResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","implemented","#207","src/api/adminScoutApi.ts::grantAdminScoutEligibility -> src/hooks/useAdminScouts.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"114","POST","/admin/scout-profiles/{scoutUserId}/eligibility/revoke","Scout 활동 자격 회수","ScoutActivityEligibilityReviewRequest","200:ScoutProfileResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","partial","#207","src/api/adminScoutApi.ts::reviewAdminScoutEligibility -> src/hooks/useAdminScouts.ts","yes","경고 dialog + 명시적 확정","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
"115","POST","/admin/scout-profiles/{scoutUserId}/eligibility/suspend","Scout 활동 자격 정지","ScoutActivityEligibilityReviewRequest","200:ScoutProfileResponse","400:{""oneOf"":[{""$ref"":""#/components/schemas/ErrorResponse""},{""$ref"":""#/components/schemas/ValidationErrorResponse""}]}|401:ErrorResponse|403:ErrorResponse","partial","#207","src/api/adminScoutApi.ts::reviewAdminScoutEligibility -> src/hooks/useAdminScouts.ts","no","작업 dialog 또는 form 검증","계약 존재; 실서버 QA 미수행","admin: documented","2026-09-16T10:57:26.133Z"
